"source_entity","source_id","name","source_status","category","supplier_name","marketplace","price_aud","cost_aud","cleanup_lane","needs_review","publish_locked"
"Product","6a19b5dec939b090c239a8b9","Silicone Air Fryer Liners (Pack of 5)","draft","kitchen","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8bb","Car Seat Gap Organiser","active","car","","","","","keep","True","True"
"Product","6a19b5dec939b090c239a8c2","3-in-1 Charging Cable (1.2m)","draft","phone_tech","","","","","maybe","True","True"
"Product","6a19b5dec939b090c239a8b6","Electric Spin Scrubber","draft","cleaning_home","","","","","maybe","True","True"
"Product","69fed2b201392fb01675a1f8","Premium Noise Cancelling Bluetooth Headphones - 20H Playtime","draft","electronics","SoundGear","","","","maybe","True","True"
"Product","69fed2b218c7ddc435e04897","Premium Wireless Noise Cancelling Earbuds - 30H Playtime for Active Lifestyles","draft","electronics","AliExpress Store","","","","maybe","True","True"
"Product","69feaf7b969c996b5d86a1d8","Replay After Restart: Your Ultimate Gaming Progress Saver","draft","","","","","","delete_later","True","True"
"Product","69feaf7b0ccc1d8014dfe7bc","Unleash Your eBay Potential with Our Unique Listing Tool","draft","","","","","","delete_later","True","True"
"Product","69feaf7b1cc132b9ce79b983","[TEST] Correlation Chain","draft","","","","","","delete_later","True","True"
"Product","69feaf7bee9bb50cb6f5a4b7","Boost Your Workflow with Concurrent Duplicates - Elevate Efficiency","draft","","","","","","delete_later","True","True"
"Product","69feaf00cbf74769db9466b2","[TEST] Duplicate Suppression","draft","","","","","","delete_later","True","True"
"Product","69fccff86c6d0da465f312eb","Test Desync 1778175992271","draft","","","","","","delete_later","True","True"
"Product","69fccfd31d8b2e6a235fb48f","Test Rollback 1778175955407","draft","","","","","","delete_later","True","True"
"Product","69fccfd29b694d88e89f6f98","Test StateHistory 1778175954345","draft","","","","","","delete_later","True","True"
"Product","69fccfd1dd034ac80d9c9ed0","Test InvalidTransition 1778175953702","draft","","","","","","delete_later","True","True"
"Product","69fccfd102766fd92309b9c6","Test StateTransition 1778175951919","draft","","","","","","delete_later","True","True"
"Product","69fccf93aa4526b037fa368c","Test Recursion 1778175890845","draft","","","","","","delete_later","True","True"
"Product","69fccf92eac2cada32215998","Test Correlation 1778175887860","draft","","","","","","delete_later","True","True"
"Product","69fccf87e23d0e665b0c4f0e","Unlock Marketing Success with Test Replay Video Insights","draft","","","","","","delete_later","True","True"
"Product","69fccf79a6a0e70f235f49de","Eliminate Data Duplicates Easily with Test Dedup - Optimize Your Workflow","draft","","","","","","delete_later","True","True"
"Product","69fcc020b908eaf4e6da6e9c","Ultimate Skill Mastery Tool: Boost Confidence & Study Smarter","draft","","","","","","delete_later","True","True"
"Product","69fcba57b0be11e39f4a6a04","Portable Electric Coffee Grinder with Ceramic Burr - Adjustable Coarseness for Espresso and Drip Coffee","draft","home_garden","CJ Dropshipping","","","","maybe","True","True"
"Product","69fcba39865ee4467ab6c8aa","350ml Portable Electric Kettle Travel Water Boiler - Stainless Steel, Auto Shut-Off, Rapid Boiling Small Electric Kettle for Tea and Coffee (White)","draft","home_garden","TravelGear AU","","","","maybe","True","True"
"Product","69fcb356c1b2021b409f8309","Idempotency Test Product","draft","electronics","Test Supplier","","","","delete_later","True","True"
"Product","69fcb349028d855802483953","Stress Test Product","draft","","","","","","delete_later","True","True"
"Product","69faafbae9cd2a5f9cee9689","Pet Dog Foot Wash Cup Soft Silicone Comb Portable Outdoor Pet Foot Washer Paw Clean Brush Bucket","draft","pet_supplies","CJ Dropshipping","","","","maybe","True","True"
"Product","69faa9286a385743e7b97f7a","Pet Cleaning Set Pet Rake Comb To Remove Floating Hair Grooming Comb","draft","pet_supplies","CJ Dropshipping","","","","maybe","True","True"
"Product","69fa97388c2a7e0ad798df39","2-in-1 Pet Hair Remover Roller Self Cleaning Washable Lint Cleaner Dog Cat Fur Tool","draft","pet_supplies","CJ Dropshipping","","","","maybe","True","True"
"ProductOpportunity","6a37065a616a405a3c1be0d0","Fridge Organisation Bins Set (6-piece)","draft","home_organisation","CJ Dropshipping","","","","maybe","True","True"
"ProductOpportunity","6a37065a616a405a3c1be0cd","Silicone Travel Bottle Set (3-pack)","needs_review","travel_convenience","CJ Dropshipping","","","","maybe","True","True"
"ProductOpportunity","6a37065a616a405a3c1be0ce","Adjustable Laptop Stand (Aluminium)","needs_review","creator_desk_setup","CJ Dropshipping","","","","maybe","True","True"
"ProductOpportunity","6a37065a616a405a3c1be0cf","Pet Water Fountain (Auto-circulating)","needs_review","pet_convenience","CJ Dropshipping","","","","maybe","True","True"
"ProductOpportunity","6a37065a616a405a3c1be0cc","Magnetic Cable Organiser (Bamboo)","needs_review","home_organisation","CJ Dropshipping","","","","keep","True","True"
